msgid,rus,en
PVE SOLO,PVE В ОДИНОЧКУ,PVE SOLO
Sign in with Facebook,,Sign in with Facebook
SIGN IN TO SAVE YOUR PROGRESS!,"ВОЙДИТЕ, ЧТОБЫ СОХРАНИТЬ ПРОГРЕСС",SIGN IN TO SAVE YOUR PROGRESS!
Eagle,ИГЛ,Eagle
Task-Type,,Task-Type
SW,,SW
HP,HP,HP
Jet Packs Owned,,Jet Packs Owned
Armor Gray,,Armor Gray
BY PROCEEDING I ARGREE TO THE ,"ПРОДОЛЖАЯ, Я СОГЛАШАЮСЬ С",BY PROCEEDING I ARGREE TO THE 
MARKSMAN ACCOUNT,"АККАУНТ ""МЕТКИЙ СТРЕЛОК""",MARKSMAN ACCOUNT
Device vibration intensity on kills,"Интенсивность вибрации устройства 
при убийствах",Device vibration intensity on kills
SUPER CHARGED,СУПЕРЗАРЯЖЕНО,SUPER CHARGED
BASIC,БАЗОВЫЕ,BASIC
The age in seconds divided by lifetime in seconds. Useful for animation as the value is between 0 and 1.,,The age in seconds divided by lifetime in seconds. Useful for animation as the value is between 0 and 1.
Casual or Pro jumps and abilities control,,Casual or Pro jumps and abilities control
Purchase: HM 0,,Purchase: HM 0
Mefisto,МЕФИСТО,Mefisto
"OK, THANKS!","ДА, СПАСИБО!","OK, THANKS!"
"MEDKIT UPGRADE AVAILABLE 
FROM MASTERS LVL ","УЛУЧШЕНИЕ АПТЕЧКИ 
БУДЕТ ДОСТУПНО У МАСТЕРА С LV.  ","MEDKIT UPGRADE AVAILABLE 
FROM MASTERS LVL "
Geek helping our programmers...,ГИК ПОМОГАЕТ НАШИМ ПРОГРАММИСТАМ...,Geek helping our programmers...
"CELEBRATE YOUR VICTORY BY 
SPECIAL SHOTS AND VIVID
EMOTIONS!","ОТПРАЗДНУЙТЕ СВОЮ ПОБЕДУ
КРУТЫМИ ЭФФЕКТАМИ И
ЯРКИМИ ЭМОЦИЯМИ!","CELEBRATE YOUR VICTORY BY 
SPECIAL SHOTS AND VIVID
EMOTIONS!"
Leviathan,ЛЕВИАФАН,Leviathan
SAVE AND USE,ПРИМЕНИТЬ И ИСПОЛЬЗОВАТЬ,SAVE AND USE
Raising the fun level...,ПОВЫШАЕМ УРОВЕНЬ РАДОСТИ...,Raising the fun level...
"PLAY FIRST GAME
OF THE DAY","СЫГРАЙТЕ ПЕРВЫЙ
МАТЧ ЗА ДЕНЬ","PLAY FIRST GAME
OF THE DAY"
ACHIEVEMENT,ДОСТИЖЕНИЕ,ACHIEVEMENT
YOU TRIED,ВЫ ПЫТАЛИСЬ,YOU TRIED
101001… Starting Upgrading algorithm. //Success,101001... Начало алгоритма улучшения. //Успешно,101001… Starting Upgrading algorithm. //Success
TextureMipMapBias,,TextureMipMapBias
Polishing the guns...,ПОЛИРУЕМ ОРУЖИЯ...,Polishing the guns...
COMMING SOON,СКОРО...,COMMING SOON
Pro,,Pro
Reset State,,Reset State
GEAR UP FOR BATTLE,ПОДГОТОВЬСЯ К БИТВЕ,GEAR UP FOR BATTLE
Geek,ГИК,Geek
ARMOR REPAIR,ВОССТАНОВЛЕНИЕ БРОНИ,ARMOR REPAIR
The 4-float vector used to send custom data to renderer.,,The 4-float vector used to send custom data to renderer.
Pixie preparing documents...,ПИКСИ ПОДГОТАВЛИВАЕТ ДОКУМЕНТЫ...,Pixie preparing documents...
KillerCarrots,МОРКОВКИ-УБИЙЦЫ,KillerCarrots
upgrade any master to lvl 15 ,Улушите любого мастера до LV. 15,upgrade any master to lvl 15 
BECOME RIGHT NOW,СТАНЬ ПРЯМО СЕЙЧАС,BECOME RIGHT NOW
Premium account provides you additional jumps and extra headshot protection in battle. You can purchase any premium or win Sniper or Marksman premium accounts in Fortune wheel.,"ПРЕМИУМ-АККАУНТ ДАЁТ ВАМ ДОПОЛНИТЕЛЬНЫЕ ПРЫЖКИ И ЗАЩИТУ ОТ ХЭДШОТОВ ВО ВРЕМЯ БОЯ. ВЫ МОЖЕТЕ ПРИОБРЕСТИ ЛЮБОЙ ПРЕМИУМ-АККАУНТ ИЛИ ВЫИГРАТЬ ПРЕМИУМ-АККАУНТЫ ""СНАЙПЕР"" ИЛИ ""МЕТКИЙ СТРЕЛОК"" В РУЛЕТКЕ",Premium account provides you additional jumps and extra headshot protection in battle. You can purchase any premium or win Sniper or Marksman premium accounts in Fortune wheel.
Incorrect texture Group! Diffuse in Champions/Jetpack folder should have Jetpack texture group,,Incorrect texture Group! Diffuse in Champions/Jetpack folder should have Jetpack texture group
REMAIN,ОСТАЛОСЬ,REMAIN
EXECUTOR,ЭКЗЕКЬЮТОР,EXECUTOR
WAITING FOR WIFI,,WAITING FOR WIFI
"When you hit the jackpot - run and survive. Now everyone knows that you're lucky one. Win the match and take it all. But if you lose, you'll get a consolation prize.","КОГДА ВЫ НАЙДЕТЕ ДЖЕКПОТ - УБЕГАЙТЕ, ЧТОБЫ ВЫЖИТЬ! СЕЙЧАС КАЖДЫЙ ИГРОК В МАТЧЕ В КУРСЕ, ЧТО ВЫ - СЧАСТЛИВЧИК. НУЖНО ПОБЕДИТЬ В МАТЧЕ, ЧТОБЫ ЗАБРАТЬ ВСЕ НАГРАДЫ. ИНАЧЕ, ЕСЛИ ВЫ ПРОИГРАЕТЕ, ПОЛУЧИТЕ ЛИШЬ УТЕШИТЕЛЬНЫЙ ПРИЗ.","When you hit the jackpot - run and survive. Now everyone knows that you're lucky one. Win the match and take it all. But if you lose, you'll get a consolation prize."
You better upgrade these guns!,,You better upgrade these guns!
TOP,ТОП,TOP
"NO
PREMIUM","БЕЗ
ПРЕМИУМА","NO
PREMIUM"
The size of the sprite quad.,,The size of the sprite quad.
#,#,#
El Guapo,ЭЛЬ ГУАПО,El Guapo
"This spline is completely in widget region, so it will not be culled with error.",,"This spline is completely in widget region, so it will not be culled with error."
complete all onboarding quests,Завершите все вводные задания,complete all onboarding quests
GO TO UPGRADE,К УЛУЧШЕНИЯМ,GO TO UPGRADE
Part-Name,,Part-Name
PRIVACY POLICY,ПОЛИТИКА КОНФИДЕНЦИАЛЬНОСТИ,PRIVACY POLICY
DAMAGE ZONE,ОПАСНАЯ ЗОНА,DAMAGE ZONE
Textures,,Textures
OFFER NOT AVAILABLE,ПРЕДЛОЖЕНИЕ НЕДОСТУПНО,OFFER NOT AVAILABLE
Ribbon,,Ribbon
Gyroscope Jump Sensitivity,ЧУВСТВИТЕЛЬНОСТЬ ГИРОСКОПА В ПРЫЖКЕ,Gyroscope Jump Sensitivity
Welcome to Player Tester,,Welcome to Player Tester
Gyroscope Invert X,ИНВЕРТИРОВАНИЕ ГИРОСКОПА ПО X,Gyroscope Invert X
EMOTIONS,ЭМОЦИИ,EMOTIONS
Sniper  sensitivity,,Sniper  sensitivity
WestSouthWest,,WestSouthWest
To: ,,To: 
Dressing up Masters...,ОДЕВАЕМ МАСТЕРОВ...,Dressing up Masters...
"<WhiteText30>TODAY'S QUESTS ARE COMPLETED</>
<WhiteText30>COME BACK</> <YellowText30>TOMORROW</> <WhiteText30>FOR MORE</>","<WhiteText50>ВЫ ВЫПОЛНИЛИ ВСЕ ЗАДАНИЯ!</>
<WhiteText50>ВОЗВРАЩАЙТЕСЬ</> <YellowText50>ЗАВТРА</>, <WhiteText50>ЧТОБЫ ПОЛУЧИТЬ ЕЩЕ БОЛЬШЕ ЗАДАНИЙ</>","<WhiteText30>TODAY'S QUESTS ARE COMPLETED</>
<WhiteText30>COME BACK</> <YellowText30>TOMORROW</> <WhiteText30>FOR MORE</>"
Relocating the UFO...,ПЕРЕДВИГАЕМ НЛО...,Relocating the UFO...
DAASDASDASASDASDAD,,DAASDASDASASDASDAD
NONE OF THEM,НИЧЕГО ИЗ ЭТОГО,NONE OF THEM
{Progress}/{Target},,{Progress}/{Target}
The color of the particle.,,The color of the particle.
"Pink costume and golden max upgrade tag, perfect match.",Розовый костюм и МАКС. АПГРЕЙД великолепно сочетаются.,"Pink costume and golden max upgrade tag, perfect match."
HELMET COLLECTION,КОЛЛЕКЦИЯ ШЛЕМОВ,HELMET COLLECTION
SouthWest,,SouthWest
OWNED FOR,ЧИСЛИТСЯ ЗА,OWNED FOR
"A straightforward, fast-paced shooting experience with easy-to-learn controls, perfect for casual gamers or beginners",Упрощенный и динамичный режим с легким управлением для новичков,"A straightforward, fast-paced shooting experience with easy-to-learn controls, perfect for casual gamers or beginners"
Expanding the battle sphere...,РАСШИРЯЕМ БАТТЛ-СФЕРУ...,Expanding the battle sphere...
Kill {0} enemies with any pistol,Убейте {0} врагов с помощью любого пистолета,Kill {0} enemies with any pistol
Please Wait,,Please Wait
Overhead,,Overhead
Incorrect texture Group! Normal in Champions folder should have CharacterNormalMap texture group,,Incorrect texture Group! Normal in Champions folder should have CharacterNormalMap texture group
MUZZLE VELOCITY,СКОРОСТЬ ПУЛИ,MUZZLE VELOCITY
NorthNorthEast,,NorthNorthEast
BOSS FIGHT,АТАКА НА БОССА,BOSS FIGHT
Golden Idol,ЗОЛОТОЙ ИДОЛ,Golden Idol
UserID: {ID},,UserID: {ID}
Helm Down,ШЛЕМ СБИТ,Helm Down
 BASIC PROTECTION,БАЗОВАЯ ЗАЩИТА, BASIC PROTECTION
Char Money Grant,,Char Money Grant
WIN,ПОБЕДА,WIN
some reward,НЕКОТОРЫЕ НАГРАДЫ,some reward
WATCH AD,СМОТРЕТЬ РЕКЛАМУ,WATCH AD
TRY AGAIN,ПОПРОБУЙТЕ ЕЩЁ РАЗ,TRY AGAIN
Account Control,,Account Control
USE VERTICAL JUMPS TO CLIMB HIGH OBJECTS,"ИСПОЛЬЗУЙТЕ ПРЫЖОК, ЧТОБЫ ЗАБРАТЬСЯ НА ОБЪЕКТ ВЫШЕ",USE VERTICAL JUMPS TO CLIMB HIGH OBJECTS
SetSplineType ,,SetSplineType 
DISABLE  ADS IN GAME,ОТКЛЮЧИТЬ РЕКЛАМУ В ИГРЕ,DISABLE  ADS IN GAME
Win a battle royale {0} times,"Победите в ""Королевской Битве"" {0} раз",Win a battle royale {0} times
THE RING IS NARROWING,ОБЛАСТЬ СУЖАЕТСЯ,THE RING IS NARROWING
Helix curve,,Helix curve
Normal texture Validation failed!,,Normal texture Validation failed!
YOUR PLACE,ВАШЕ МЕСТО,YOUR PLACE
Attaching the jetpack trails...,ПРИКРЕПЛЯЕМ СЛЕДЫ К ДЖЕТПАКАМ...,Attaching the jetpack trails...
Open crates on the battlefield! One of them contains a juicy jackpot!,"ОТКРЫВАЙТЕ ЯЩИКИ В РЕЖИМЕ ""КОРОЛЕВСКАЯ БИТВА""! ОДИН ИЗ НИХ СОДЕРЖИТ В СЕБЕ СОЧНЫЙ ДЖЕКПОТ!",Open crates on the battlefield! One of them contains a juicy jackpot!
AMMO,ПАТРОНЫ,AMMO
"A monotonically increasing integer for each new particle born in an individual emitter. Provides a stable unique ID for a particle inside if its own emitter. For a stable ID, across emitters inside of a system, enable Persistent IDs in the emitter properties, at which time a Particles.ID attribute is created which is a two integer struct which uniquely identifies every particle across all the emitters in a System.",,"A monotonically increasing integer for each new particle born in an individual emitter. Provides a stable unique ID for a particle inside if its own emitter. For a stable ID, across emitters inside of a system, enable Persistent IDs in the emitter properties, at which time a Particles.ID attribute is created which is a two integer struct which uniquely identifies every particle across all the emitters in a System."
buy any 5 weapon skins,Купите 5 скинов оружия,buy any 5 weapon skins
YOU'RE THE 3,ТЫ - #3,YOU'RE THE 3
"If a man in a rabbit suit asked you to upgrade your gun, would you?",,"If a man in a rabbit suit asked you to upgrade your gun, would you?"
SENSITIVITY,ЧУВСТВИТЕЛЬНОСТЬ,SENSITIVITY
"AIM WHERE YOU WANT TO LAND
AND PUSH VERTICAL JUMP BUTTON AGAIN","ПРИЦЕЛЬТЕСЬ С ПОМОЩЬЮ УКАЗАТЕЛЯ НА ТО МЕСТО,
КУДА ВЫ ХОТИТЕ ПОЛЕТЕТЬ, И СНОВА НАЖМИТЕ НА КНОПКУ ПРЫЖКА","AIM WHERE YOU WANT TO LAND
AND PUSH VERTICAL JUMP BUTTON AGAIN"
Expanding the battle sphere,РАСШИРЯЕМ БОЕВУЮ СФЕРУ...,Expanding the battle sphere
DOWNLOAD FALED,НЕ УДАЛОСЬ ЗАГРУЗИТЬ,DOWNLOAD FALED
Kill {0} enemies with crab bombs,Убейте {0} врагов краб-минами,Kill {0} enemies with crab bombs
EastSouthEast,,EastSouthEast
Misfit,ФИТОНЯШКА,Misfit
SELECT SERVER,ВЫБРАТЬ СЕРВЕР,SELECT SERVER
Common Vest,,Common Vest
 4 hours,4 часа, 4 hours
Helmet will protect you from headshots. Get premium account Marksman or Predator to play with extra head protection.,"ШЛЕМ ЗАЩИТИТ ВАС ОТ ХЭДШОТОВ. ПОЛУЧИТЕ ПРЕМИУМ-АККАУНТ ""МАРКСМАН"" ИЛИ ""ПРЕДАТОР"", ЧТОБЫ ИГРАТЬ С ДОПОЛНИТЕЛЬНОЙ ЗАЩИТОЙ ДЛЯ ГОЛОВЫ",Helmet will protect you from headshots. Get premium account Marksman or Predator to play with extra head protection.
NEXT,ДАЛЕЕ,NEXT
Sonar,,Sonar
Converted cascade module ParticleModuleAccelerationDrag.,,Converted cascade module ParticleModuleAccelerationDrag.
TERMS OF USE ,УСЛОВИЯ ИСПОЛЬЗОВАНИЯ,TERMS OF USE 
Leviathan talking to fish...,ЛЕВИАФАН РАЗГОВАРИВАЕТ С РЫБАМИ...,Leviathan talking to fish...
Gingerbread fighting off sweet tooth...,ИМБИРНЫЙ ПРЯНЯ БОРЕТСЯ СО СЛАДКОЕЖКАМИ...,Gingerbread fighting off sweet tooth...
Bullet damage,УРОН ОТ ПУЛЬ,Bullet damage
CameraLAgMaxDistance,,CameraLAgMaxDistance
GAME MODE: ,РЕЖИМ ИГРЫ:,GAME MODE: 
Hotshot equipping grenades...,ХОТШОТ СНАРЯЖАЕТСЯ ГРАНАТАМИ...,Hotshot equipping grenades...
Relocating the UFO,ПЕРЕДВИГАЕМ НЛО...,Relocating the UFO
Kill {0} enemies with any sniper rifle,Убейте {0} врагов с помощью любой снайперской винтовки,Kill {0} enemies with any sniper rifle
Hiding the jackpot...,СКРЫВАЕМ ДЖЕТПАКИ...,Hiding the jackpot...
Charging the Masteries,ЗАРЯЖАЕМ МАСТЕРОВ...,Charging the Masteries
"IN
GAME","В
ИГРЕ","IN
GAME"
DELAY,ЗАДЕРЖКА,DELAY
closed loop,,closed loop
OPEN THE CRATE,ОТКРОЙТЕ ЯЩИК,OPEN THE CRATE
JetTrail-Name,,JetTrail-Name
"ChangeSplinePointByIndex 
SetSplineThickness",,"ChangeSplinePointByIndex 
SetSplineThickness"
NorthEast,,NorthEast
Love to win? Love to upgrade guns first!,,Love to win? Love to upgrade guns first!
Explicit order for linking particles within a ribbon. Particles of the same ribbon id will be connected into a ribbon in incrementing order of this attribute value.,,Explicit order for linking particles within a ribbon. Particles of the same ribbon id will be connected into a ribbon in incrementing order of this attribute value.
Goldfish reading scenario...,ЗОЛОТАЯ РЫБКА ЧИТАЕТ СЦЕНАРИЙ...,Goldfish reading scenario...
Character,,Character
common,,common
No upgrades - no real damage.,,No upgrades - no real damage.
WOW... I'VE WON THE PRIZE,ОГО... Я ВЫИГРАЛ ПРИЗ,WOW... I'VE WON THE PRIZE
Draw circle runtime,,Draw circle runtime
ROUND {CurrentRound},РАУНД {CurrentRound},ROUND {CurrentRound}
Zombie rising from dead...,ЗОМБИ ВОССТАЁТ ИЗ МЁРТВЫХ...,Zombie rising from dead...
JetPack-Name,,JetPack-Name
Attack,АТАКОВАТЬ,Attack
INSTANT XP,МГНОВЕННЫЙ ОПЫТ,INSTANT XP
Its not instance,,Its not instance
Charcteristic name,,Charcteristic name
Char-Name,,Char-Name
War Angel requesting orders...,АНГЕЛ ВОЙНЫ ЖДЁТ ПРИКАЗА...,War Angel requesting orders...
EXPLORE THE GAME,ИССЛЕДУЙ ИГРУ!,EXPLORE THE GAME
Pinterest,,Pinterest
YOU'RE THE 1,ТЫ - #1,YOU'RE THE 1
epic,,epic
GAIN EXTRA XP TO BOOST LVL-UP,"ПОЛУЧИТЕ ДОП. EXP, ЧТОБЫ УВЕЛИЧИТЬ УРОВЕНЬ АККАУНТА",GAIN EXTRA XP TO BOOST LVL-UP
ESE,,ESE
TODAY'S QUESTS ARE COMPLETED,ВСЕ ЗАДАНИЯ НА СЕГОДНЯ ВЫПОЛНЕНЫ,TODAY'S QUESTS ARE COMPLETED
Set player Name,,Set player Name
PLAY,ИГРАТЬ,PLAY
Horizontal acceleration,,Horizontal acceleration
JetTrail-Price,,JetTrail-Price
lets you take control! ,ДАВАЙ ВОЗЬМЕМ ЭТО ПОД КОНТРОЛЬ!,lets you take control! 
McFilthy braiding his beard...,ГРЯЗНОРОТЫЙ ЗАПЛЕТАЕТ СЕБЕ БОРОДУ...,McFilthy braiding his beard...
CameraLagMaxDistance,,CameraLagMaxDistance
"CHANGE
SELECTION","ПОМЕНЯТЬ
СВОЙ ВЫБОР","CHANGE
SELECTION"
Slelect new oject,,Slelect new oject
4.B Real Magnetic Field Widget,,4.B Real Magnetic Field Widget
LaunchUp,,LaunchUp
Dance Influence,ВЛИЯНИЕ ТАНЦА,Dance Influence
Incorrect texture Group! Normal in Champions/Jetpack folder should have JetpackNormalMap texture group,,Incorrect texture Group! Normal in Champions/Jetpack folder should have JetpackNormalMap texture group
AUDIO,ЗВУКИ,AUDIO
Upgrade:,,Upgrade:
Post Process Quality,,Post Process Quality
Sets the ribbon id for a particle. Particles with the same ribbon id will be connected into a ribbon.,,Sets the ribbon id for a particle. Particles with the same ribbon id will be connected into a ribbon.
YOU'RE THE 2,ТЫ - #2,YOU'RE THE 2
INFO FAILED,,INFO FAILED
WNW,,WNW
Zombie looking for brains...,ЗОМБИ ИЩЕТ МОЗГИ...,Zombie looking for brains...
Raising the fun level,ПОВЫШАЕМ УРОВЕНЬ РАДОСТИ...,Raising the fun level
Select Object,,Select Object
War Angel charging RPG...,АНГЕЛ ВОЙНЫ ЗАРЯЖАЕТ РПГ...,War Angel charging RPG...
BLACK ROBOT,ЧЕРНЫЙ РОБОТ,BLACK ROBOT
YOUR PLACE: ,ВАШЕ МЕСТО:,YOUR PLACE: 
Master Volume,ОСНОВНАЯ ГРОМКОСТЬ,Master Volume
Cowboy joe making molotov...,КОВБОЙ ДЖО МАСТЕРИТ КОКТЕЙЛЬ МОЛОТОВА...,Cowboy joe making molotov...
D.O.Nut polishing badge...,ОФИЦЕР Д.О.НАТ ПОЛИРУЕТ ЗНАЧОК...,D.O.Nut polishing badge...
Get {0} headshots,Сделайте {0} хедшотов,Get {0} headshots
NEW RANK LVL {Level},НОВЫЙ РАНГ {Level},NEW RANK LVL {Level}
Nade-dunk - throw a grenade while jumping above the enemy's head. Boom!,"БРОСАЙТЕ ГРАНАТЫ НАД ГОЛОВАМИ ПРОТИВНИКОВ.
БА-БАХ!",Nade-dunk - throw a grenade while jumping above the enemy's head. Boom!
Sun roatate,,Sun roatate
WIN CHALLENGE,ИСПЫТАНИЕ: ПОБЕДА,WIN CHALLENGE
NNW,,NNW
Controlling the overall volume of the game,Регулировка общей громкости игры,Controlling the overall volume of the game
Ammo Style,СТИЛЬ ПАТРОНОВ,Ammo Style
Screen Region,,Screen Region
EMP,,EMP
Killer Jump,СМЕРТЕЛЬНЫЙ ПРЫЖОК,Killer Jump
Homing Rockets,,Homing Rockets
MoveToLocation,,MoveToLocation
THIS LOOK IS FOR TUTORIAL ONLY,ДАННЫЙ ОБРАЗ ВЫДАЁТСЯ ТОЛЬКО НА ВРЕМЯ ПРОХОЖДЕНИЯ ТУТОРИАЛА,THIS LOOK IS FOR TUTORIAL ONLY
Bored walking round da hood...,БОРД ХОДИТ ВОКРУГ РАЙОНА...,Bored walking round da hood...
Gyroscope mode,РЕЖИМ РАБОТЫ ГИРОСКОПА,Gyroscope mode
Distance Mode,,Distance Mode
Sight stability,,Sight stability
Executor initializing shooting protocols...,ЭКЗЕКЬЮТОР ИНИЦИАЛИЗИРУЕТ ПРОТОКОЛЫ СТРЕЛЬБЫ...,Executor initializing shooting protocols...
graphic level,,graphic level
UI Preset,,UI Preset
Move your finger on the right side of the screen to rotate your camera,"ПЕРЕМЕЩАЙТЕ ПАЛЬЦЕМ ПО ПРАВОЙ ЧАСТИ ЭКРАНА, ЧТОБЫ ПОВОРАЧИВАТЬ КАМЕРУ",Move your finger on the right side of the screen to rotate your camera
"Changing graphics settings to higher
may couse frame rate drop or device heating.","ИЗМЕНЕНИЕ НАСТРОЕК ГРАФИКИ НА 
БОЛЕЕ ВЫСОКИЕ ЗНАЧЕНИЯ
МОГУТ ПРИВЕСТИ К ПАДЕНИЮ FPS 
И ПЕРЕГРЕВУ УСТРОЙСТВА","Changing graphics settings to higher
may couse frame rate drop or device heating."
WARNING!,ВНИМАНИЕ!,WARNING!
Kill {0} enemies with ult,Убейте {0} врагов используя ульту,Kill {0} enemies with ult
Nightlife dancing all night...,ЖИВУЩАЯ НОЧЬЮ ТАНЦУЕТ ВСЮ НОЧЬ...,Nightlife dancing all night...
Always,ВЕЗДЕ,Always
A way to control the character's camera,Способ управления персонажем,A way to control the character's camera
Compression Settings Not Masks,,Compression Settings Not Masks
MATCHMAKING,МАТЧМЕЙКИНГ,MATCHMAKING
I prefer to keep things upgraded and charged up!,,I prefer to keep things upgraded and charged up!
Goldfish polishing trophies...,ЗОЛОТАЯ РЫБКА ПОЛИРУЕТ ТРОФЕИ...,Goldfish polishing trophies...
SlowMotion,,SlowMotion
100 PAN BUCKS,100 PAN-БАКСОВ,100 PAN BUCKS
Expire: 2022-04-01 20:22:01,,Expire: 2022-04-01 20:22:01
Luxury Predator premium account gives you 5 high and 5 long jumps to make your movement extremely dynamic and unpredictable. Play in helmet - protect your head the best way. Get extra xp for every battle to boost your progress.,"ПРЕМИУМ-АККАУНТ ""ПРЕДАТОР"" РАЗБЛОКИРУЕТ ДЛЯ ВАС ДОСТУП К ЕЩЁ БОЛЬШЕМУ КОЛИЧЕСТВУ ПРЫЖКОВ, ЧТО СДЕЛАЕТ ВАШ ГЕЙМПЛЕЙ ЧРЕЗВЫЧАЙНО ДИНАМИЧНЫМ И НЕ ПРЕДСКАЗУЕМЫМ. ИГРАЙТЕ В ШЛЕМЕ - ЭТО ЛУЧШИЙ СПОСОБ ЗАЩИТИТЬ ВАШУ ГОЛОВУ ОТ ХЭДШОТОВ. А ТАКЖЕ ПОЛУЧАЙТЕ ЕЩЁ БОЛЬШЕ ОПЫТА ЗА КАЖДЫЙ МАТЧ, ЧТО НЕВЕРОЯТНО УСКОРИТ ВАЩ ПРОГРЕСС.",Luxury Predator premium account gives you 5 high and 5 long jumps to make your movement extremely dynamic and unpredictable. Play in helmet - protect your head the best way. Get extra xp for every battle to boost your progress.
EXTEND PREMIUM,ПРОДЛИТЬ ПРЕМИУМ,EXTEND PREMIUM
Diffuse texture Validation failed!,,Diffuse texture Validation failed!
DrawDistance,ДИСТАНЦИЯ ПРОРИСОВКИ,DrawDistance
Gun upgrades are girl’s best friends,Апгрейды оружия - лучшие друзья девушки,Gun upgrades are girl’s best friends
win all roulette prizes,Выиграйте все призы на рулетке,win all roulette prizes
TOP 5,ТОП-5,TOP 5
Idle,,Idle
make a purchase in the store,Сделайте покупку в магазине,make a purchase in the store
Control Type,,Control Type
Make any 3 grenade upgrades,Улучшите гранату 3 раза,Make any 3 grenade upgrades
GO TO MASTER,К МАСТЕРАМ,GO TO MASTER
Cowboy Joe searching for hat...,КОВБОЙ ДЖО ИЩЕТ ШЛЯПУ...,Cowboy Joe searching for hat...
Converted cascade module ParticleModuleSubUV.,,Converted cascade module ParticleModuleSubUV.
PURCHASE IN PROGRESS,ОПЛАЧИВАЕТСЯ,PURCHASE IN PROGRESS
COLLECTION:,КОЛЛЕКЦИЯ,COLLECTION:
Tutor Reward,,Tutor Reward
120,120,120
"HI! CREATE A COOL LOOK
FOR THE TUTORIAL,
TAP NEW LOOK!!!","ЗДОРОВ! СОЗДАЙ КЛЁВЫЙ 
ОБРАЗ ДЛЯ ТУТОРИАЛА,
ЖМИ ""НОВЫЙ ОБРАЗ""!!!","HI! CREATE A COOL LOOK
FOR THE TUTORIAL,
TAP NEW LOOK!!!"
MVP,МВП,MVP
Boost: HM 5,,Boost: HM 5
Discord,DISCORD,Discord
Rate %,,Rate %
"YOUR
KILLER","ТВОЙ
УБИЙЦЫ","YOUR
KILLER"
GET TO THE SNIPER RIFLE,ПОДБЕРИТЕ СНАЙПЕРСКУЮ ВИНТОВКУ,GET TO THE SNIPER RIFLE
"Tips:
1.If your spline is not completely in the widget covered region, it maybe culled in some special cases.
2. To avoid the spline been culled, you should keep part of widget's region (location + size) is always in screen.
3. Make ""Details->Debug->SplineDebugInfo->DrawWidgetBoarder"" checked, It will help debug whether the widget region is in screen. ",,"Tips:
1.If your spline is not completely in the widget covered region, it maybe culled in some special cases.
2. To avoid the spline been culled, you should keep part of widget's region (location + size) is always in screen.
3. Make ""Details->Debug->SplineDebugInfo->DrawWidgetBoarder"" checked, It will help debug whether the widget region is in screen. "
"Bunny runs around with a gun, makes upgrades and has fun!","Зайчик бегает с оружием, делает улучшения и веселится!","Bunny runs around with a gun, makes upgrades and has fun!"
BASIC CONTROLS GUIDE,БАЗОВЫЕ ИНСТРУКЦИИ УПРАВЛЕНИЯ,BASIC CONTROLS GUIDE
Sence Horizontal,,Sence Horizontal
Golden max upgrade tag on the gun makes me shine bright like a diamond.,"""МАКС. АПГРЕЙД"" на оружии заставляет меня сиять, словно алмаз.",Golden max upgrade tag on the gun makes me shine bright like a diamond.
POSSIBLE REWARDS,ВОЗМОЖНЫЕ НАГРАДЫ,POSSIBLE REWARDS
UPGRADE GUN,УЛУЧШИТЬ,UPGRADE GUN
Weapon Upgrade,,Weapon Upgrade
"FIND AI CARTRIDGE TO ACTIVATE
ARTIFICIAL INTELLIGENCE FOR
YOUR CHARACTERS","ИЩИТЕ ИИ-КАРТОЧКИ, ЧТОБЫ
АКТИВИРОВАТЬ ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ
ДЛЯ ТВОИХ МАСТЕРОВ","FIND AI CARTRIDGE TO ACTIVATE
ARTIFICIAL INTELLIGENCE FOR
YOUR CHARACTERS"
"Kids, let's upgrade this gun! ","Ребята, давайте улучшим эти оружия!","Kids, let's upgrade this gun! "
Nightlife waiting for partner...,ЖИВУЩАЯ НОЧЬЮ ЖДЁТ ПАРТНЁРА...,Nightlife waiting for partner...
Device vibration intensity on headshot kills,"Интенсивность вибрации устройства 
при убийствах от попадания в голову",Device vibration intensity on headshot kills
Skin-Item,,Skin-Item
Login,,Login
Rare Vest,,Rare Vest
USEFUL LINKS,,USEFUL LINKS
Helmets,,Helmets
Anti Aliasing Quality,,Anti Aliasing Quality
Language,ЯЗЫК,Language
JUMPS,ПРЫЖКОВ,JUMPS
AND I'LL GIVE YOU ,И Я ДАМ ВАМ,AND I'LL GIVE YOU 
PREDATOR,ХИЩНИК,PREDATOR
{0} times get to battle royale top 3,"{0} раз попадите в ТОП-3 в ""Королевской Битве""",{0} times get to battle royale top 3
North,,North
Here will be PING when you start game,,Here will be PING when you start game
Ginger,ИМБИРНЫЙ,Ginger
"Sets the facing vector of the ribbon at the particle position, or the side vector the ribbon's width is extended along, depending on the selected facing mode.",,"Sets the facing vector of the ribbon at the particle position, or the side vector the ribbon's width is extended along, depending on the selected facing mode."
4.B Real Magnetic Field Compass,,4.B Real Magnetic Field Compass
The screen aligned roll of the particle in degrees.,,The screen aligned roll of the particle in degrees.
LATER,ПОЗЖЕ,LATER
M/S,,M/S
Complete:,,Complete:
UserID: ************,,UserID: ************
STARTER BUNDLE,НАБОР НОВИЧКА,STARTER BUNDLE
